RuleId,SourceSheet,SourceRow,DeploymentMode,EnableInPolicy,Fidelity,RuleName,Domain,ObjectType,AdapterKindKey,ResourceKindKey,MetricName,MetricKey,ThresholdModel,AlertType,AlertSubType,ImpactType,ImpactDetail,AlertWaitCycles,AlertCancelCycles,StateSeverity,Branch,ConditionId,ConditionName,ConditionAdapterKindKey,ConditionResourceKindKey,Relation,Aggregation,ConditionType,ConditionKey,Operator,ThresholdType,Value,ValueMultiplier,ValueType,Instanced,ConditionWaitCycles,ConditionCancelCycles,SourceDecision,SourceAlertMonitor,SourceSignal,SourceGreen,SourceAmber,SourceRed,Correlation,ImplementationNotes,Source,Confidence
Y01-VSPHERE-COMMON-R14,vSphere (Common),14,MONITOR_ONLY,false,MONITOR_ONLY,vSphere World - CPU|Wait,vSphere,vSphere World,VMWARE,vSphere World,CPU|Wait,cpu|wait,Not suitable as a standalone RAG metric,16,19,BADGE,health,1,1,,,,,,,,,,,,,,,,,,,Alert,Do not alert standalone,N/A,N/A,N/A,N/A,Use CPU Ready/Contention for CPU scheduling and I/O wait plus storage latency for I/O symptoms.,CPU Wait includes idle and other wait states; it is validated as a collected context metric and deliberately creates no alert.,https://knowledge.broadcom.com/external/article/382249/using-esxtop-and-interpreting-esxtop-sta.html,High
Y02-VSPHERE-COMMON-R16,vSphere (Common),16,ALERT,true,EXACT,vSphere World - mem|Contention (%),vSphere,vSphere World,VMWARE,vSphere World,mem|Contention (%),mem|host_contentionPct,Static percentage,16,19,BADGE,health,1,1,WARNING,1,W1,Warning threshold,VMWARE,vSphere World,SELF,ALL,STATIC,mem|host_contentionPct,GT_EQ,STATIC,1,,NUMERIC,false,3,2,Alert,Alert,Memory contention %,< 1%,1% to < 5%,≥ 5%,"Confirm ballooning, swapping, compression or reduced active memory.",Direct static percentage thresholds from the workbook.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html,Medium
Y02-VSPHERE-COMMON-R16,vSphere (Common),16,ALERT,true,EXACT,vSphere World - mem|Contention (%),vSphere,vSphere World,VMWARE,vSphere World,mem|Contention (%),mem|host_contentionPct,Static percentage,16,19,BADGE,health,1,1,CRITICAL,1,C1,Critical threshold,VMWARE,vSphere World,SELF,ALL,STATIC,mem|host_contentionPct,GT_EQ,STATIC,5,,NUMERIC,false,3,2,Alert,Alert,Memory contention %,< 1%,1% to < 5%,≥ 5%,"Confirm ballooning, swapping, compression or reduced active memory.",Direct static percentage thresholds from the workbook.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html,Medium
Y03-VSPHERE-COMMON-R22,vSphere (Common),22,ALERT,true,CORRELATED_NATIVE,vSphere World - mem|Usage/Usable (%),vSphere,vSphere World,VMWARE,vSphere World,mem|Usage/Usable (%),mem|host_usagePct,Static percentage,16,19,BADGE,health,1,1,WARNING,1,W1,Memory usage warning,VMWARE,vSphere World,SELF,ALL,STATIC,mem|host_usagePct,GT_EQ,STATIC,90,,NUMERIC,false,3,2,Alert,Alert with pressure correlation,Host memory usage %,< 90%,90% to < 95%,≥ 95%,"Require contention, ballooning, swapping or sustained reclaim activity before paging.",Host memory usage is gated by the workbook-selected memory contention metric to avoid pressure-free usage alerts.,https://knowledge.broadcom.com/external/article/415396/high-memory-utilization-alarms-observed.html,High
Y03-VSPHERE-COMMON-R22,vSphere (Common),22,ALERT,true,CORRELATED_NATIVE,vSphere World - mem|Usage/Usable (%),vSphere,vSphere World,VMWARE,vSphere World,mem|Usage/Usable (%),mem|host_usagePct,Static percentage,16,19,BADGE,health,1,1,WARNING,1,W2,Memory contention warning gate,VMWARE,vSphere World,SELF,ALL,STATIC,mem|host_contentionPct,GT_EQ,STATIC,1,,NUMERIC,false,3,2,Alert,Alert with pressure correlation,Host memory usage %,< 90%,90% to < 95%,≥ 95%,"Require contention, ballooning, swapping or sustained reclaim activity before paging.",Host memory usage is gated by the workbook-selected memory contention metric to avoid pressure-free usage alerts.,https://knowledge.broadcom.com/external/article/415396/high-memory-utilization-alarms-observed.html,High
Y03-VSPHERE-COMMON-R22,vSphere (Common),22,ALERT,true,CORRELATED_NATIVE,vSphere World - mem|Usage/Usable (%),vSphere,vSphere World,VMWARE,vSphere World,mem|Usage/Usable (%),mem|host_usagePct,Static percentage,16,19,BADGE,health,1,1,CRITICAL,1,C1,Memory usage critical,VMWARE,vSphere World,SELF,ALL,STATIC,mem|host_usagePct,GT_EQ,STATIC,95,,NUMERIC,false,3,2,Alert,Alert with pressure correlation,Host memory usage %,< 90%,90% to < 95%,≥ 95%,"Require contention, ballooning, swapping or sustained reclaim activity before paging.",Host memory usage is gated by the workbook-selected memory contention metric to avoid pressure-free usage alerts.,https://knowledge.broadcom.com/external/article/415396/high-memory-utilization-alarms-observed.html,High
Y03-VSPHERE-COMMON-R22,vSphere (Common),22,ALERT,true,CORRELATED_NATIVE,vSphere World - mem|Usage/Usable (%),vSphere,vSphere World,VMWARE,vSphere World,mem|Usage/Usable (%),mem|host_usagePct,Static percentage,16,19,BADGE,health,1,1,CRITICAL,1,C2,Memory contention critical gate,VMWARE,vSphere World,SELF,ALL,STATIC,mem|host_contentionPct,GT_EQ,STATIC,5,,NUMERIC,false,3,2,Alert,Alert with pressure correlation,Host memory usage %,< 90%,90% to < 95%,≥ 95%,"Require contention, ballooning, swapping or sustained reclaim activity before paging.",Host memory usage is gated by the workbook-selected memory contention metric to avoid pressure-free usage alerts.,https://knowledge.broadcom.com/external/article/415396/high-memory-utilization-alarms-observed.html,High
Y04-VSPHERE-COMMON-R23,vSphere (Common),23,ALERT,true,CORRELATED_NATIVE,vSphere World - mem|Workload (%),vSphere,vSphere World,VMWARE,vSphere World,mem|Workload (%),mem|workload,Workload percentage,16,19,BADGE,health,1,1,WARNING,1,W1,Memory workload warning,VMWARE,vSphere World,SELF,ALL,STATIC,mem|workload,GT_EQ,STATIC,80,,NUMERIC,false,3,2,?,Review before enabling,Memory workload %,< 80%,80% to ≤ 100%,> 100%,"Memory contention, ballooning and swap activity.",Memory workload is gated by memory contention as requested by the workbook correlation guidance.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html,Medium-Low
Y04-VSPHERE-COMMON-R23,vSphere (Common),23,ALERT,true,CORRELATED_NATIVE,vSphere World - mem|Workload (%),vSphere,vSphere World,VMWARE,vSphere World,mem|Workload (%),mem|workload,Workload percentage,16,19,BADGE,health,1,1,WARNING,1,W2,Contention warning gate,VMWARE,vSphere World,SELF,ALL,STATIC,mem|host_contentionPct,GT_EQ,STATIC,1,,NUMERIC,false,3,2,?,Review before enabling,Memory workload %,< 80%,80% to ≤ 100%,> 100%,"Memory contention, ballooning and swap activity.",Memory workload is gated by memory contention as requested by the workbook correlation guidance.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html,Medium-Low
Y04-VSPHERE-COMMON-R23,vSphere (Common),23,ALERT,true,CORRELATED_NATIVE,vSphere World - mem|Workload (%),vSphere,vSphere World,VMWARE,vSphere World,mem|Workload (%),mem|workload,Workload percentage,16,19,BADGE,health,1,1,CRITICAL,1,C1,Memory workload critical,VMWARE,vSphere World,SELF,ALL,STATIC,mem|workload,GT,STATIC,100,,NUMERIC,false,3,2,?,Review before enabling,Memory workload %,< 80%,80% to ≤ 100%,> 100%,"Memory contention, ballooning and swap activity.",Memory workload is gated by memory contention as requested by the workbook correlation guidance.,https://knowledge.broadcom.com/external/article/430030/faq-metrics-needed-in-aria-operations-fo.html,Medium-Low
